membership_label,baseline_group_type,K,gep,median_delta,delta_q25,delta_q75,n_samples,median_ROGUE,median_n_cells,fraction_samples_positive,members_str,delta_IQR
Mono_CD14+Mono_CD14_THBS1,subgroup,22,2,-0.0720504993696482,-0.0720504993696482,-0.0720504993696482,1,0.903709423778008,192.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,23,1,0.00063663200690595,-0.005637757005343375,0.00571771172225625,4,0.9831615456895889,253.0,0.5,Mono_CD14+Mono_CD14_THBS1,0.011355468727599625
Mono_CD14+Mono_CD14_THBS1,subgroup,23,2,-0.07190086431654495,-0.07192861528451087,-0.07187311334857903,2,0.9088300034164329,131.5,0.0,Mono_CD14+Mono_CD14_THBS1,5.550193593184538e-05
Mono_CD14+Mono_CD14_THBS1,subgroup,24,1,-0.0700109570236523,-0.0779535408556355,-0.0675435440562667,3,0.9106837920587753,481.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.010409996799368798
Mono_CD14+Mono_CD14_THBS1,subgroup,25,2,-0.0301088638229319,-0.0370852528953035,-0.0203815827369222,3,0.9456510593247244,138.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.016703670158381298
Mono_CD14+Mono_CD14_THBS1,subgroup,25,3,-0.0909671225094341,-0.0909671225094341,-0.0909671225094341,1,0.8906080482016582,203.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,25,4,-0.0381993112325811,-0.0519631371780164,-0.01848322837420795,3,0.9375606119150752,120.0,0.3333333333333333,Mono_CD14+Mono_CD14_THBS1,0.03347990880380845
Mono_CD14+Mono_CD14_THBS1,subgroup,26,1,-0.0931741107069895,-0.0931741107069895,-0.0931741107069895,1,0.8884010600041028,296.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,26,2,-0.0276826923180987,-0.0355551721924521,-0.02331616267362045,3,0.9480772308295576,150.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.01223900951883165
Mono_CD14+Mono_CD14_THBS1,subgroup,26,4,-0.0478695222950543,-0.053938201734860504,-0.0418008428552481,2,0.929684446802307,97.5,0.0,Mono_CD14+Mono_CD14_THBS1,0.012137358879612405
