GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,0.4762659578371133,0.9795882403917002,0.9968911450261764,0.9924847376353174,0.9980497662790828,0.9987749989295603,0.9971551340537578,0.9992174617095168,0.973618662546586,0.9987974861647377,0.9995006119672687,0.996871779170997,0.9989542023771486,0.9991375869357001,0.9987995433982984,0.21196789924309448,0.6520197007427557,0.09459471539845384,0.09089419055145233,0.99880385051535,0.9987403002402988,0.069881979392603,0.3048266649884583,0.9986916742080131,0.09089293521170409,0.32925604065070657,0.9984947707850246,0.9983948389373424,0.17876270925959736,0.29489005619035624,0.7752685486711008,0.0889872503826934
12,0.46510728650165795,0.9691540028987656,0.9941059896918933,0.9874976739436675,0.9973849107985429,0.998144330530388,0.9946388288439337,0.9993463245186704,0.9619615983386969,0.9999441638468004,0.9985530056244272,0.9929456910476162,0.9981305892926828,0.9997965868976767,0.9976457809822739,0.19201943557951115,0.632177327688361,0.08870062089143957,0.08890758681749608,0.9997399113681863,0.9999559402520618,0.06788283089886953,0.3085707937950763,0.9999541635191873,0.08890726170273786,0.31266680327801394,0.9999800346930761,0.9999709367308044,0.1894722267796536,0.3116302505439373,0.7894963377253619,0.08923912404782618
13,0.4690780417803235,0.9691861891460558,0.9945446495188915,0.9880860977758522,0.9976238588572864,0.9984343741828675,0.9949257487823887,0.9992076807745521,0.9623213848584067,0.9999125346835842,0.9986998211467658,0.9928468750333268,0.9983747798942005,0.9998418772472429,0.9976015357228287,0.1930071353818524,0.6324066276123121,0.08936628283773669,0.08932002418687636,0.9997886096192529,0.9999540051045472,0.06833791301732915,0.3100777127284413,0.9999649761039872,0.08932040005414602,0.31363219178746105,0.9999825425135744,0.999972251583199,0.1894749282271604,0.31027286266924514,0.791958985041349,0.08934083828033725
14,0.48851594306779317,0.978321195908698,0.9967319910382191,0.9930705228984696,0.9957549528983187,0.9981751868407452,0.9948204684960037,0.9961699764860611,0.9726572173625567,0.9961830141408761,0.9987794362738158,0.9935579896563258,0.9992004806861653,0.9972186829171417,0.9959106179235437,0.23465248323321053,0.6689534959957762,0.10815840807077887,0.10314831714524432,0.9972845122241238,0.996115028249415,0.08112956633106681,0.3190773300878651,0.9962741921338162,0.10315230933950821,0.3468426399218087,0.996025616535186,0.9958494694545894,0.18956182802241908,0.2828812769292587,0.7857273716988469,0.092229997473914
15,0.1476085414829232,0.2695977223360828,0.2174523919330902,0.2341543992927952,0.19353223733361544,0.20675297986678623,0.2038578714730678,0.2033936033948801,0.2634956878257216,0.19513719641174843,0.21643835011807627,0.22130248609697423,0.21405284016561843,0.1994839685022287,0.2135445655930013,0.9999997589332471,0.2619330057414188,0.29093642413465365,0.29120109383553333,0.19949904609929692,0.19291894897096898,0.18986465699017474,0.11790469159866145,0.19362664100856533,0.2912013706716698,0.5103852296349998,0.1917403450012956,0.1904657197114271,0.039870164006537964,0.05646807138923808,0.11604732525382011,0.10853456376739487
16,0.48827345937356814,0.9817890202117957,0.9944757497487162,0.9908959720296538,0.9958203538501583,0.9967445067773413,0.9946814278357076,0.997799261425444,0.9736670841427971,0.9966938440227191,0.9979674821381794,0.998365207446941,0.9961877466934296,0.9966817791862923,0.999779143676204,0.21893256114821424,0.6622800304160169,0.10161802116589852,0.09486498824840092,0.9965052602225035,0.9963338266966797,0.07533222093647116,0.30848436449321687,0.9960956112694183,0.09486068893123985,0.3284053547189628,0.9960778828519468,0.9958843641495109,0.18485545460899055,0.29437511576904835,0.7733357121613353,0.09507143211756272
17,0.4708807311864228,0.9759279239695099,0.9958935896897727,0.9906423069541702,0.9975986452959592,0.9990806832352259,0.995336043725559,0.9992922157782641,0.9685227474475394,0.9992432750059899,0.999892430740018,0.995544664531464,0.9993701254565474,0.9994496980043597,0.9988063397226775,0.21361535507560578,0.6519120037057333,0.09968688779052103,0.09638766893345722,0.9994896620173679,0.9990697621863841,0.07553318377907478,0.32013605246083093,0.9990684175175609,0.09638750748786303,0.3301011256494137,0.999007680823055,0.9989041260647228,0.1925234480686853,0.30178705992237564,0.7899092581331574,0.09239338192465527
18,0.47735445812327143,0.9829600431136865,0.995174330030667,0.9907750315236108,0.9964664234675984,0.9974355108832331,0.9947304590784575,0.9979556682974097,0.975400047190933,0.9968530268209115,0.9983569869194476,0.9988372940479421,0.9969480405738287,0.9968609056950125,0.999473341414903,0.21775490992956192,0.6598349823514326,0.10184487912137036,0.09506009759452298,0.9968371192847343,0.9963907968629693,0.07613527173408706,0.31200159429846364,0.9962376326275395,0.09505614192700504,0.3327725749930759,0.9961781208624269,0.9960129590716448,0.18445806571458767,0.29777665732582637,0.7800957324627769,0.0950544862630981
19,0.46890791219921196,0.9684669098395923,0.9941131218593223,0.9875012216475381,0.9973514755081943,0.9982188248824052,0.9945585560801743,0.9991585530853688,0.9613697799179579,0.999907644632165,0.9985270755971496,0.9925730086754756,0.9981828796308567,0.999801467894171,0.9974727243878403,0.19099401841516958,0.6303476721137063,0.0890794205150949,0.08903224122734164,0.9997485003733064,0.9999543787100524,0.06820554686915964,0.309905594887468,0.9999332437213105,0.08903243686324738,0.3099101566387717,0.9999871539419255,0.9999919873414831,0.19063750581408717,0.3094376002910418,0.7949099184098232,0.08876960238694272
20,0.4676067620626661,0.968494835070557,0.9939890447035711,0.9873616761589075,0.9972673034371035,0.9981071440678149,0.9945062330425543,0.9992107821718295,0.9613143774590295,0.9999205863728505,0.9984701296992425,0.9926175854468449,0.9980813106399871,0.9997918015026155,0.997488564909143,0.19076080039699297,0.630673136416575,0.08882467124271422,0.08878520337102351,0.9997251774585589,0.9999618396380507,0.06795725004317665,0.30925033222479603,0.9999317055013689,0.08878512718124262,0.30995641201826957,0.999985693597364,0.9999939640459403,0.18997019772145207,0.3096367125200492,0.7940965987688939,0.08869830563017081
