pathway,K5,K6,K7,K8,K9,K10
MERGED_INTERMEDIATE_LYMPHATIC_ENDO,4,4,5,5,5,6
MERGED_INTERM_CHONDROCYTE,4,4,5,5,5,7
MERGED_INTERM_NEUROENDOCRINE,4,4,5,5,5,6
MERGED_INTERSTITIUM,4,4,5,5,5,6
MERGED_INTESTINAL_EPITHELIAL,3,3,3,3,3,2
MERGED_ISLET_ENDOCRINE,3,3,3,3,3,2
MERGED_ISTHMUS,3,3,3,3,3,2
MERGED_KCNIP4_POS_NEURON,3,3,3,7,8,9
MERGED_KRT6BPOS_SECRETORY_PROGENITOR,3,6,7,8,9,10
MERGED_KUPFFER,5,5,6,6,7,8
MERGED_LARGE_PRE_B,2,2,1,1,1,1
MERGED_LATE_AIRWAY_PROGENITOR,4,6,7,8,9,10
MERGED_LATE_AIRWAY_SMC,4,4,5,5,5,6
MERGED_LATE_BASAL,2,2,1,1,1,7
MERGED_LATE_IMMATURE_ENTEROCYTES,3,3,3,3,3,2
MERGED_LATE_MESOTHELIAL,3,3,3,3,3,7
MERGED_LATE_PRO_B,4,4,5,7,8,9
MERGED_LATE_SCHWANN,4,4,5,5,5,6
MERGED_LATE_SUPRABASAL,2,6,7,8,9,7
MERGED_LATE_TIP,4,4,5,7,5,9
MERGED_LEFT_VENTRICULAR_CARDIOMYOCYTE,4,4,5,7,8,7
MERGED_LENS_FIBRE,2,2,1,1,6,7
MERGED_LEUKOCYTE,5,5,6,6,7,8
MERGED_LGR5POS_STEM,3,3,3,3,3,2
MERGED_LIMBIC_SYSTEM_NEURONS,3,3,3,3,3,2
MERGED_LIPOFIBROBLAST,4,4,5,5,5,7
MERGED_LSEC,4,4,5,7,8,9
MERGED_LYMPHATIC,4,4,5,5,5,6
MERGED_LYMPHATIC_ENDOTHELIAL,4,4,5,7,5,6
MERGED_LYMPHOID,1,1,2,2,2,3
MERGED_LYZ_POSITIVE,3,3,3,3,3,2
MERGED_M1_MACROPHAGE,5,5,6,6,7,8
MERGED_M2_MACROPHAGE,5,5,6,6,7,7
MERGED_MACROPHAGE,5,5,6,6,7,8
MERGED_MAST,1,1,6,2,2,3
MERGED_MATURE_ENTEROCYTES,3,3,3,3,3,2
MERGED_MATURE_NEURONS,2,2,1,1,1,7
MERGED_MATURE_PIT,3,3,3,3,3,2
MERGED_MEG3_HIGH_FIBROBLASTS,4,4,5,5,5,6
MERGED_MEGAKARYOCYTE,1,1,2,2,2,3
MERGED_MEGAKARYOCYTE_ERYTHROID_PROGENITOR,2,2,1,1,1,7
MERGED_MELANOCYTE,2,2,1,1,1,7
MERGED_MESANGIAL,4,4,5,5,5,6
MERGED_MESENCHYMAL_1,4,4,5,1,1,6
MERGED_MESENCHYMAL_2,2,2,1,1,1,1
MERGED_MESENCHYMAL_3,2,2,1,1,1,7
MERGED_MESENCHYMAL_STROMAL,4,4,5,5,5,6
MERGED_MESOTHELIAL,2,2,1,1,1,7
MERGED_METALLOTHIONEIN,3,3,3,3,3,7
MERGED_METANEPHRIC,4,6,4,4,9,5
MERGED_MGP_HIGH_FIBROBLASTS,4,4,5,5,5,6
MERGED_MHC_II_POS_B,1,1,4,4,6,4
MERGED_MID_AIRWAY_SMC_1,4,4,5,5,5,6
MERGED_MID_AIRWAY_SMC_2,4,4,5,5,5,6
MERGED_MID_BASAL,2,2,1,1,1,7
MERGED_MID_CAP,4,4,5,5,5,6
MERGED_MID_MESOTHELIAL,2,2,1,1,1,7
MERGED_MID_SCHWANN,4,4,5,5,5,6
MERGED_MINERALISATION_STROMAL,4,4,7,8,9,6
MERGED_MKI67POS_PROGENITOR,2,2,1,7,8,9
MERGED_MKP,4,4,5,5,5,9
MERGED_MONOCYTE,1,1,6,6,7,8
MERGED_MUC13_DMBT1_POSITIVE,3,3,3,3,3,2
MERGED_MUC16_POS_CILIATED,2,2,1,1,1,1
MERGED_MUC5AC_POS_ASCL1_POS_PROGENITOR,2,2,1,1,1,1
MERGED_MUCOUS,3,6,7,8,9,7
MERGED_MULLER,3,3,3,3,3,2
MERGED_MULTILYMPHOID_PROGENITOR,1,1,2,2,2,4
MERGED_MVEC,4,4,5,7,8,9
MERGED_MYELOID,5,5,6,6,7,8
MERGED_MYL4_POS_SMC,4,4,5,5,5,6
MERGED_MYOFIBROBLAST,4,4,5,5,5,6
MERGED_MYOFIBROBLAST_1,4,4,5,3,5,7
MERGED_MYOFIBROBLAST_2,4,4,5,5,5,6
MERGED_MYOFIBROBLAST_3,4,4,5,5,5,7
MERGED_NAIVE_T,1,1,2,2,2,3
MERGED_NATURAL_KILLER,1,1,2,2,2,3
MERGED_NATURAL_KILLER_T,1,1,2,2,2,3
MERGED_NECK,3,3,3,3,3,2
MERGED_NEUROENDOCRINE,2,2,1,1,1,7
MERGED_NEUTROPHIL,5,5,6,6,7,8
MERGED_NK,1,1,2,2,2,3
