k_parent,k_child,parent_gep,child_gep,similarity,raw_value,parent_celltype,child_celltype,celltype_match
9,10,2,9,0.9908157798646857,0.018453310212611727,DC_family,DC_family,True
9,10,2,10,0.9855679191534235,0.029074472585748325,DC_family,Mast,False
9,10,3,1,0.31514223382850653,2.3094624122093554,Macrophage_family,Monocyte_family,False
9,10,3,2,0.9423428739574388,0.11877217107891114,Macrophage_family,Mono_CD16,False
9,10,3,3,0.9893452744074753,0.02142378723387738,Macrophage_family,DC_family,False
9,10,3,4,0.9998564017372772,0.00028721714788103217,Macrophage_family,Macrophage_family,True
9,10,3,5,0.994009196363598,0.012017640987028573,Macrophage_family,Ambiguous/Mixed,False
9,10,3,6,0.99457124181722,0.010887094879268925,Macrophage_family,Ambiguous/Mixed,False
9,10,3,7,0.9851145702432683,0.029994659212648864,Macrophage_family,DC_pDC,False
9,10,3,8,0.9969818616164365,0.006045404296486992,Macrophage_family,Macrophage_family,True
9,10,3,9,0.9909950460092892,0.01809148729237747,Macrophage_family,DC_family,False
9,10,3,10,0.9892950018942914,0.021525417659168586,Macrophage_family,Mast,False
9,10,4,1,0.2558997878380227,2.725938729796643,Ambiguous/Mixed,Monocyte_family,False
9,10,4,2,0.9448342066389943,0.11349161918065163,Ambiguous/Mixed,Mono_CD16,False
9,10,4,3,0.9922554338383411,0.015549422108899437,Ambiguous/Mixed,DC_family,False
9,10,4,4,0.9934372612778569,0.013168736352300167,Ambiguous/Mixed,Macrophage_family,False
9,10,4,5,0.992381438652592,0.015295461666731548,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,4,6,0.9983747020489592,0.003253240361255871,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,4,7,0.9894162504928005,0.021280311459838955,Ambiguous/Mixed,DC_pDC,False
9,10,4,8,0.9933676984139199,0.0133087860610068,Ambiguous/Mixed,Macrophage_family,False
9,10,4,9,0.9949461025830276,0.010133423097922114,Ambiguous/Mixed,DC_family,False
9,10,4,10,0.9907125944406123,0.018661604831058196,Ambiguous/Mixed,Mast,False
9,10,5,1,0.3349852247796345,2.1873377065303004,Ambiguous/Mixed,Monocyte_family,False
9,10,5,2,0.9287054512627279,0.14792730087901984,Ambiguous/Mixed,Mono_CD16,False
9,10,5,3,0.9873099679869943,0.025542476413705568,Ambiguous/Mixed,DC_family,False
9,10,5,4,0.9937459034198652,0.012547470733764068,Ambiguous/Mixed,Macrophage_family,False
9,10,5,5,0.9995174459655181,0.0009653410022983354,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,5,6,0.992591134051778,0.014872895828090385,Ambiguous/Mixed,Ambiguous/Mixed,True
9,10,5,7,0.9820039624532769,0.036319871102017426,Ambiguous/Mixed,DC_pDC,False
9,10,5,8,0.9943099941413484,0.011412511224198688,Ambiguous/Mixed,Macrophage_family,False
9,10,5,9,0.9903250801678553,0.019444051894365613,Ambiguous/Mixed,DC_family,False
9,10,5,10,0.9876891811550301,0.024774449403950953,Ambiguous/Mixed,Mast,False
9,10,6,1,0.22524137282408283,2.9811653673503873,DC_pDC,Monocyte_family,False
9,10,6,2,0.9503394886879193,0.10187200342116477,DC_pDC,Mono_CD16,False
9,10,6,3,0.990996712502471,0.018088124022727897,DC_pDC,DC_family,False
9,10,6,4,0.9844576268435921,0.03132884421995202,DC_pDC,Macrophage_family,False
9,10,6,5,0.9815680671136445,0.03720783515982461,DC_pDC,Ambiguous/Mixed,False
9,10,6,6,0.9918456489744184,0.016375559190924413,DC_pDC,Ambiguous/Mixed,False
9,10,6,7,0.9993217609237175,0.001356938368912613,DC_pDC,DC_pDC,True
9,10,6,8,0.9836975362785105,0.0328736220242873,DC_pDC,Macrophage_family,False
9,10,6,9,0.9938851865303107,0.01226717101139057,DC_pDC,DC_family,False
9,10,6,10,0.9912986405888052,0.017478874572189135,DC_pDC,Mast,False
9,10,7,1,0.30962606510724655,2.344779902374846,Macrophage_family,Monocyte_family,False
9,10,7,2,0.9436816527234169,0.11593280399349298,Macrophage_family,Mono_CD16,False
9,10,7,3,0.9909840973842943,0.018113583639922916,Macrophage_family,DC_family,False
9,10,7,4,0.9975624684578193,0.004881014317226021,Macrophage_family,Macrophage_family,True
9,10,7,5,0.9945052290844189,0.011019845396991267,Macrophage_family,Ambiguous/Mixed,False
9,10,7,6,0.9958913875832741,0.008234151909882918,Macrophage_family,Ambiguous/Mixed,False
9,10,7,7,0.985640536706883,0.028927116169380533,Macrophage_family,DC_pDC,False
