K,GEP,Top_CellType,NES
21,13,mregDC_LAMP3,1.376
21,14,Mac_SPP1,1.401
21,15,mregDC_LAMP3,1.232
21,16,Mast,1.248
21,17,mregDC_LAMP3,1.323
21,18,Mac_SPP1,1.256
21,19,Mast,1.198
21,20,Mac_SPP1,1.138
21,21,Mac_SPP1,1.171
22,1,Mono_CD14_THBS1,1.515
22,2,cDC2_CD33,2.026
22,3,Mono_CD16,1.734
22,4,Mac_CXCL9,1.232
22,5,cDC2_CD1C,1.318
22,6,DC_pDC,1.202
22,7,Mac_IL1B,1.236
22,8,Mac_SPP1,1.255
22,9,Mac_CXCL9,1.195
22,10,cDC1_CLEC9A,1.359
22,11,Mac_CXCL9,1.194
22,12,Mono_TIL,1.272
22,13,Mac_SPP1,1.389
22,14,cDC2_CD1C,1.186
22,15,mregDC_LAMP3,1.283
22,16,Mast,1.22
22,17,mregDC_LAMP3,1.192
22,18,mregDC_LAMP3,1.244
22,19,Mac_SPP1,1.285
22,20,Mast,1.188
22,21,Mac_SPP1,1.13
22,22,Mac_SPP1,1.173
23,1,Mono_CD14_THBS1,1.494
23,2,cDC2_CD33,2.017
23,3,Mono_CD16,1.714
23,4,Mac_CXCL9,1.228
23,5,cDC2_CD1C,1.315
23,6,DC_pDC,1.198
23,7,Mac_IL1B,1.269
23,8,Mac_CXCL9,1.192
23,9,Mac_SPP1,1.391
23,10,cDC1_CLEC9A,1.355
23,11,Mac_SPP1,1.245
23,12,Mac_CXCL9,1.188
23,13,cDC2_CD1C,1.18
23,14,Mono_TIL,1.287
23,15,mregDC_LAMP3,1.28
23,16,Mac_IL1B,1.159
23,17,Mast,1.218
23,18,mregDC_LAMP3,1.192
23,19,Mac_SPP1,1.285
23,20,mregDC_LAMP3,1.243
23,21,Mast,1.188
23,22,Mac_SPP1,1.127
23,23,Mac_SPP1,1.172
24,1,Mono_CD16,2.847
24,2,Mac_CXCL9,1.887
24,3,cDC2_CD1C,1.581
24,4,DC_pDC,1.524
24,5,Mono_TIL,1.439
24,6,Mac_SPP1,1.452
24,7,mregDC_LAMP3,1.415
24,8,mregDC_LAMP3,1.148
24,9,cDC2_CD1C,1.109
24,10,Mast,1.11
24,11,Mast,1.568
24,12,Mac_SPP1,1.591
24,13,cDC2_CD1C,1.185
24,14,cDC2_CD1C,1.078
24,15,cDC2_CD1C,1.202
24,16,Mac_SPP1,1.132
24,17,mregDC_LAMP3,1.073
24,18,Mast,1.578
24,19,DC_pDC,1.018
24,20,mregDC_LAMP3,1.056
24,21,Mac_SPP1,1.157
24,22,Mast,1.339
24,23,Mac_IL1B,1.078
24,24,mregDC_LAMP3,1.027
25,1,Mono_TIL,1.982
25,2,mregDC_LAMP3,1.821
25,3,DC_pDC,1.528
25,4,DC_pDC,1.625
25,5,Mac_IL1B,1.786
25,6,mregDC_LAMP3,1.42
25,7,Mast,2.228
25,8,Mac_SPP1,1.526
25,9,Mac_SPP1,1.901
25,10,cDC2_CD1C,1.339
25,11,cDC1_CLEC9A,1.577
25,12,cDC2_CD1C,1.239
25,13,Mac_SPP1,1.353
25,14,DC_pDC,1.029
25,15,cDC2_CD1C,1.521
25,16,Mac_SPP1,1.501
25,17,cDC2_CD1C,1.03
25,18,Mac_SPP1,1.243
25,19,Mono_CD14_IL1B,1.009
25,20,Mast,1.38
25,21,Mast,1.389
25,22,DC_pDC,1.006
25,23,mregDC_LAMP3,1.01
25,24,cDC2_CD1C,1.012
25,25,Mono_CD14_ID1,1.01
26,1,DC_pDC,1.493
26,2,DC_pDC,1.41
26,3,mregDC_LAMP3,2.285
26,4,DC_pDC,1.183
26,5,Mast,1.706
26,6,Mac_SPP1,1.333
26,7,Mac_SPP1,1.366
26,8,cDC2_CD1C,1.276
26,9,Mac_SPP1,1.115
26,10,Mac_SPP1,1.16
26,11,Mast,1.163
26,12,cDC2_CD1C,1.484
26,13,mregDC_LAMP3,1.5
26,14,DC_pDC,1.018
26,15,Mac_SPP1,1.631
26,16,Mono_CD14_ID1,1.011
26,17,mregDC_LAMP3,1.029
26,18,cDC2_CD1C,1.004
26,19,Mast,1.524
26,20,DC_pDC,1.005
26,21,Mac_SPP1,1.345
26,22,Mac_CXCL9,1.025
26,23,Mac_SPP1,1.111
26,24,Mac_IL1B,1.04
26,25,DC_pDC,1.002
26,26,mregDC_LAMP3,1.0
27,1,DC_pDC,1.697
27,2,mregDC_LAMP3,2.098
27,3,cDC1_CLEC9A,1.295
27,4,Mast,1.731
27,5,Mast,1.588
27,6,Mac_SPP1,1.492
27,7,Mac_SPP1,1.223
27,8,DC_pDC,1.043
27,9,cDC2_CD1C,1.068
27,10,Mac_SPP1,1.154
27,11,cDC1_CLEC9A,1.037
27,12,Mac_CXCL9,1.074
27,13,cDC2_CD1C,1.013
27,14,mregDC_LAMP3,1.443
27,15,cDC2_CD1C,1.61
27,16,cDC2_CD1C,1.007
27,17,Mac_SPP1,1.686
27,18,DC_pDC,1.018
27,19,cDC2_CD1C,1.012
27,20,Mast,1.417
27,21,cDC2_CD1C,1.027
27,22,Mac_SPP1,1.319
27,23,Mac_SPP1,1.021
27,24,Mac_IL1B,1.057
27,25,Mast,1.068
27,26,cDC2_CD1C,1.003
27,27,Mono_CD14_THBS1,1.003
28,1,Mono_CD16,2.641
28,2,mregDC_LAMP3,1.973
28,3,DC_pDC,1.562
28,4,DC_pDC,1.179
28,5,Mast,1.821
28,6,Mac_SPP1,1.726
28,7,cDC2_CD1C,1.354
28,8,Mac_CXCL9,1.084
28,9,DC_pDC,1.032
28,10,Mast,1.039
28,11,cDC1_CLEC9A,1.122
28,12,cDC1_CLEC9A,1.226
28,13,Mac_SPP1,1.136
28,14,Mast,1.094
28,15,cDC2_CD33,1.043
28,16,Mac_SPP1,1.061
28,17,Mast,1.274
28,18,cDC2_CD1C,1.354
28,19,DC_pDC,1.008
28,20,Mac_SPP1,1.165
28,21,Mono_CD14_IL1B,1.032
28,22,Mac_IL1Bint,1.053
28,23,Mast,1.258
28,24,mregDC_LAMP3,1.024
28,25,Mac_SPP1,1.197
28,26,Mac_SPP1,1.11
28,27,Mast,1.087
28,28,cDC2_CD1C,1.004
29,1,cDC1_CLEC9A,2.067
29,2,mregDC_LAMP3,1.903
29,3,mregDC_LAMP3,1.546
29,4,cDC2_CD1C,2.135
29,5,Mast,1.941
29,6,Mac_SPP1,1.606
29,7,Mac_SPP1,1.508
29,8,DC_pDC,1.066
29,9,Mast,1.23
29,10,DC_pDC,1.049
29,11,cDC2_CD1C,1.025
29,12,DC_pDC,1.033
29,13,DC_pDC,1.037
29,14,cDC2_CD1C,1.075
29,15,Mast,1.409
29,16,cDC2_CD1C,1.523
29,17,Mac_CXCL9,1.039
29,18,Mac_SPP1,1.494
29,19,Mac_SPP1,1.027
29,20,Mast,1.327
29,21,Mac_SPP1,1.121
29,22,DC_pDC,1.004
29,23,Mast,1.313
29,24,DC_pDC,1.012
29,25,Mac_SPP1,1.181
29,26,Mac_SPP1,1.102
29,27,Mac_SPP1,1.012
29,28,Mono_CD14_THBS1,1.003
29,29,DC_pDC,1.003
30,1,DC_pDC,2.395
30,2,cDC2_CD1C,2.401
30,3,mregDC_LAMP3,2.379
30,4,Mac_SPP1,1.622
30,5,Mast,1.368
30,6,DC_pDC,1.06
30,7,Mast,1.124
30,8,DC_pDC,1.022
30,9,cDC2_CD1C,1.583
30,10,mregDC_LAMP3,1.253
30,11,Mac_SPP1,1.42
30,12,Mono_CD14_THBS1,1.006
