k	gep	program_class	top_identity_label	second_identity_label	top_identity_nes	second_identity_nes	top_identity_fdr	second_identity_fdr	nes_gap	runner_up_ratio	n_significant_identity_sets	significant_identity_sets	classification_reason
9	4	non_identity_unresolved	cDC2_CD1C	Mac_CXCL9	1.2677633836570354	1.2644244636968094	0.0	0.0	0.003338919960226061		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	5	identity_supported	Mac_IL1B	Mono_TIL	1.3397907586507967	1.2099525781204736	0.0	0.0	0.12983818053032303	0.0	1	Mac_IL1B:NES=1.340,q=0	single significant identity (Mac_IL1B); no competitor set
9	6	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.2804727913539522	1.0326396167935017	0.0	0.6365	0.2478331745604505		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	7	identity_supported	Mac_SPP1	Mac_CXCL9	1.3275439074133286	1.177383097003903	0.0	0.0	0.15016081040942564	0.0	1	Mac_SPP1:NES=1.328,q=0	single significant identity (Mac_SPP1); no competitor set
9	8	identity_supported	mregDC_LAMP3	cDC2_CD1C	1.3654242434471566	1.2289238714139914	0.0	0.0	0.13650037203316523	0.0	1	mregDC_LAMP3:NES=1.365,q=0	single significant identity (mregDC_LAMP3); no competitor set
9	9	non_identity_unresolved	Mast	cDC2_CD1C	1.2491645445471657	0.980837328351926	0.0	1.0	0.2683272161952397		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	1	identity_ambiguous	Mono_CD14_ID1	Mono_CD14_THBS1	1.8430984894987708	1.584796054557017	0.0	0.0	0.25830243494175376	0.8598542419662017	4	Mono_CD14_ID1:NES=1.843,q=0; Mono_CD14_THBS1:NES=1.585,q=0; Mono_CD14_IL1B:NES=1.434,q=0; Mono_CD14:NES=1.300,q=0	4 significant sets, top two near-tied (runner_up_ratio=0.860 > 0.8)
10	10	non_identity_unresolved	Mast	cDC2_CD1C	1.2464225895878265	0.9847181948878606	0.0	1.0	0.26170439469996587		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
10	2	identity_supported	Mono_CD16	Mono_Int	1.9598239460857667	1.4918876274819155	0.0	0.0	0.4679363186038512	0.7612355336618725	3	Mono_CD16:NES=1.960,q=0; Mono_Int:NES=1.492,q=0; cDC2_CD33:NES=1.443,q=0	Mono_CD16 dominates 3 significant sets (runner_up_ratio=0.761 <= 0.8)
10	3	identity_supported	cDC2_CD1C	cDC1_CLEC9A	1.300270107775856	1.2893212122599318	0.0	0.0	0.010948895515924262	0.0	1	cDC2_CD1C:NES=1.300,q=0	single significant identity (cDC2_CD1C); no competitor set
10	4	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.281979795240535	1.1365095175940216	0.0	0.0	0.14547027764651332		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
