NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MAINTENANCE_OF_APICAL_BASAL_CELL_POLARITY	7		Rejected!	
GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	39	21		
GOBP_MAINTENANCE_OF_CELL_NUMBER	200	45		
GOBP_MAINTENANCE_OF_CELL_POLARITY	14		Rejected!	
GOBP_MAINTENANCE_OF_CENTROSOME_LOCATION	6		Rejected!	
GOBP_MAINTENANCE_OF_DNA_REPEAT_ELEMENTS	7		Rejected!	
GOBP_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM	25		Rejected!	
GOBP_MAINTENANCE_OF_LENS_TRANSPARENCY	8		Rejected!	
GOBP_MAINTENANCE_OF_LOCATION	221	96		
GOBP_MAINTENANCE_OF_ORGANELLE_LOCATION	11		Rejected!	
GOBP_MAINTENANCE_OF_POSTSYNAPTIC_DENSITY_STRUCTURE	6		Rejected!	
GOBP_MAINTENANCE_OF_POSTSYNAPTIC_SPECIALIZATION_STRUCTURE	11		Rejected!	
GOBP_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE	8		Rejected!	
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ENDOPLASMIC_RETICULUM	13		Rejected!	
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	45		Rejected!	
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION	67	20		
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_EXTRACELLULAR_REGION	8		Rejected!	
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_MITOCHONDRION	5		Rejected!	
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_NUCLEUS	26		Rejected!	
GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	13		Rejected!	
GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE	31		Rejected!	
GOBP_MALATE_ASPARTATE_SHUTTLE	9		Rejected!	
GOBP_MALATE_METABOLIC_PROCESS	9		Rejected!	
GOBP_MALE_GAMETE_GENERATION	703	134		
GOBP_MALE_GENITALIA_DEVELOPMENT	23		Rejected!	
GOBP_MALE_MATING_BEHAVIOR	8		Rejected!	
GOBP_MALE_MEIOSIS_I	29		Rejected!	
GOBP_MALE_MEIOTIC_NUCLEAR_DIVISION	57		Rejected!	
GOBP_MALE_SEX_DETERMINATION	14		Rejected!	
GOBP_MALE_SEX_DIFFERENTIATION	177	59		
GOBP_MALONYL_COA_METABOLIC_PROCESS	6		Rejected!	
GOBP_MAMMALIAN_OOGENESIS_STAGE	11		Rejected!	
GOBP_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT	20		Rejected!	
GOBP_MAMMARY_GLAND_BRANCHING_INVOLVED_IN_PREGNANCY	7		Rejected!	
GOBP_MAMMARY_GLAND_DEVELOPMENT	140	69		
GOBP_MAMMARY_GLAND_DUCT_MORPHOGENESIS	34	18		
GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION	18		Rejected!	
GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	28		Rejected!	
GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT	74	37		
GOBP_MAMMARY_GLAND_FORMATION	7		Rejected!	
GOBP_MAMMARY_GLAND_INVOLUTION	10		Rejected!	
GOBP_MAMMARY_GLAND_MORPHOGENESIS	49	27		
GOBP_MANCHETTE_ASSEMBLY	10		Rejected!	
GOBP_MANGANESE_ION_TRANSMEMBRANE_TRANSPORT	10		Rejected!	
GOBP_MANGANESE_ION_TRANSPORT	12		Rejected!	
GOBP_MANNOSE_METABOLIC_PROCESS	10		Rejected!	
GOBP_MANNOSYLATION	20		Rejected!	
GOBP_MAPK_CASCADE	795	337		
GOBP_MARGINAL_ZONE_B_CELL_DIFFERENTIATION	11		Rejected!	
GOBP_MAST_CELL_ACTIVATION	74	45		
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	60	35		
GOBP_MAST_CELL_CHEMOTAXIS	12		Rejected!	
GOBP_MAST_CELL_CYTOKINE_PRODUCTION	7		Rejected!	
GOBP_MAST_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_MAST_CELL_HOMEOSTASIS	6		Rejected!	
GOBP_MAST_CELL_MIGRATION	15		Rejected!	
GOBP_MAST_CELL_PROLIFERATION	8		Rejected!	
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	36		Rejected!	
GOBP_MATERNAL_PROCESS_INVOLVED_IN_FEMALE_PREGNANCY	60	23		
GOBP_MATERNAL_PROCESS_INVOLVED_IN_PARTURITION	5		Rejected!	
GOBP_MATERNAL_TO_ZYGOTIC_TRANSITION_OF_GENE_EXPRESSION	6		Rejected!	
GOBP_MATING_BEHAVIOR	35		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	34		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	23		Rejected!	
GOBP_MATURATION_OF_LSU_RRNA	26		Rejected!	
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	17		Rejected!	
GOBP_MATURATION_OF_SSU_RRNA	54		Rejected!	
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	35		Rejected!	
GOBP_MATURE_B_CELL_DIFFERENTIATION	42	24		
GOBP_MATURE_CONVENTIONAL_DENDRITIC_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_MDA_5_SIGNALING_PATHWAY	11		Rejected!	
GOBP_MECHANORECEPTOR_DIFFERENTIATION	79	25		
GOBP_MECHANOSENSORY_BEHAVIOR	16		Rejected!	
GOBP_MEDIUM_CHAIN_FATTY_ACID_BIOSYNTHETIC_PROCESS	6		Rejected!	
GOBP_MEDIUM_CHAIN_FATTY_ACID_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MEDIUM_CHAIN_FATTY_ACID_METABOLIC_PROCESS	15		Rejected!	
GOBP_MEDIUM_CHAIN_FATTY_ACYL_COA_METABOLIC_PROCESS	6		Rejected!	
GOBP_MEGAKARYOCYTE_DEVELOPMENT	23		Rejected!	
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	67	21		
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	142	31		
GOBP_MEIOTIC_ATTACHMENT_OF_TELOMERE_TO_NUCLEAR_ENVELOPE	5		Rejected!	
GOBP_MEIOTIC_CELL_CYCLE	298	63		
GOBP_MEIOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	10		Rejected!	
GOBP_MEIOTIC_CELL_CYCLE_PHASE_TRANSITION	17		Rejected!	
GOBP_MEIOTIC_CELL_CYCLE_PROCESS	226	57		
GOBP_MEIOTIC_CELL_CYCLE_PROCESS_INVOLVED_IN_OOCYTE_MATURATION	7		Rejected!	
GOBP_MEIOTIC_CHROMOSOME_CONDENSATION	6		Rejected!	
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION	97	25		
GOBP_MEIOTIC_CHROMOSOME_SEPARATION	10		Rejected!	
GOBP_MEIOTIC_CYTOKINESIS	8		Rejected!	
GOBP_MEIOTIC_DNA_DOUBLE_STRAND_BREAK_FORMATION	8		Rejected!	
GOBP_MEIOTIC_METAPHASE_CHROMOSOME_ALIGNMENT	5		Rejected!	
GOBP_MEIOTIC_SISTER_CHROMATID_COHESION	17		Rejected!	
GOBP_MEIOTIC_SISTER_CHROMATID_COHESION_CENTROMERIC	5		Rejected!	
GOBP_MEIOTIC_SPINDLE_ASSEMBLY	15		Rejected!	
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	22		Rejected!	
GOBP_MELANOCYTE_DIFFERENTIATION	24	15		
GOBP_MELANOCYTE_PROLIFERATION	5		Rejected!	
GOBP_MELANOSOME_ASSEMBLY	19		Rejected!	
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY	437	106		
GOBP_MEMBRANE_BIOGENESIS	70	20		
GOBP_MEMBRANE_DEPOLARIZATION	100	38		
GOBP_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	31	15		
GOBP_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	6		Rejected!	
GOBP_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	23		Rejected!	
GOBP_MEMBRANE_DEPOLARIZATION_DURING_SA_NODE_CELL_ACTION_POTENTIAL	5		Rejected!	
GOBP_MEMBRANE_DISASSEMBLY	13		Rejected!	
GOBP_MEMBRANE_DOCKING	89	17		
GOBP_MEMBRANE_FISSION	45		Rejected!	
GOBP_MEMBRANE_FUSION	203	50		
GOBP_MEMBRANE_HYPERPOLARIZATION	13		Rejected!	
GOBP_MEMBRANE_INVAGINATION	64	32		
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS	153	47		
GOBP_MEMBRANE_LIPID_CATABOLIC_PROCESS	54	20		
GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS	222	73		
GOBP_MEMBRANE_ORGANIZATION	848	229		
GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS	52	25		
GOBP_MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS	14		Rejected!	
GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS	64	27		
GOBP_MEMBRANE_RAFT_ASSEMBLY	14		Rejected!	
GOBP_MEMBRANE_RAFT_LOCALIZATION	9		Rejected!	
GOBP_MEMBRANE_RAFT_ORGANIZATION	30	15		
GOBP_MEMBRANE_REPOLARIZATION	58	23		
GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	34		Rejected!	
GOBP_MEMBRANE_REPOLARIZATION_DURING_ATRIAL_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	7		Rejected!	
GOBP_MEMBRANE_REPOLARIZATION_DURING_VENTRICULAR_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	19		Rejected!	
GOBP_MEMBRANE_TO_MEMBRANE_DOCKING	6		Rejected!	
GOBP_MEMBRANE_TUBULATION	6		Rejected!	
GOBP_MEMBRANOUS_SEPTUM_MORPHOGENESIS	10		Rejected!	
GOBP_MEMORY	131	50		
GOBP_MENAQUINONE_CATABOLIC_PROCESS	5		Rejected!	
GOBP_MESANGIAL_CELL_DEVELOPMENT	6		Rejected!	
GOBP_MESANGIAL_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_MESENCHYMAL_CELL_APOPTOTIC_PROCESS	15		Rejected!	
GOBP_MESENCHYMAL_CELL_DEVELOPMENT	7		Rejected!	
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION	273	125		
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	7		Rejected!	
GOBP_MESENCHYMAL_CELL_MIGRATION	62	36		
GOBP_MESENCHYMAL_CELL_PROLIFERATION	47	31		
GOBP_MESENCHYMAL_CELL_PROLIFERATION_INVOLVED_IN_LUNG_DEVELOPMENT	6		Rejected!	
GOBP_MESENCHYMAL_EPITHELIAL_CELL_SIGNALING	9		Rejected!	
GOBP_MESENCHYMAL_STEM_CELL_DIFFERENTIATION	14		Rejected!	
GOBP_MESENCHYMAL_STEM_CELL_MAINTENANCE_INVOLVED_IN_NEPHRON_MORPHOGENESIS	6		Rejected!	
GOBP_MESENCHYMAL_STEM_CELL_PROLIFERATION	12		Rejected!	
GOBP_MESENCHYMAL_TO_EPITHELIAL_TRANSITION	20		Rejected!	
GOBP_MESENCHYMAL_TO_EPITHELIAL_TRANSITION_INVOLVED_IN_METANEPHROS_MORPHOGENESIS	11		Rejected!	
GOBP_MESENCHYME_DEVELOPMENT	341	150		
GOBP_MESENCHYME_MIGRATION	5		Rejected!	
GOBP_MESENCHYME_MORPHOGENESIS	62	38		
GOBP_MESENDODERM_DEVELOPMENT	9		Rejected!	
GOBP_MESODERMAL_CELL_DIFFERENTIATION	35	20		
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	18		Rejected!	
GOBP_MESODERMAL_CELL_FATE_SPECIFICATION	13		Rejected!	
GOBP_MESODERMAL_CELL_MIGRATION	6		Rejected!	
GOBP_MESODERM_DEVELOPMENT	142	57		
GOBP_MESODERM_MORPHOGENESIS	79	37		
GOBP_MESONEPHRIC_DUCT_DEVELOPMENT	9		Rejected!	
GOBP_MESONEPHRIC_TUBULE_FORMATION	10		Rejected!	
GOBP_MESONEPHRIC_TUBULE_MORPHOGENESIS	68	34		
GOBP_MESONEPHROS_DEVELOPMENT	103	56		
GOBP_METABOLIC_COMPOUND_SALVAGE	35		Rejected!	
GOBP_METALLO_SULFUR_CLUSTER_ASSEMBLY	27		Rejected!	
GOBP_METAL_ION_TRANSPORT	895	311		
GOBP_METANEPHRIC_COLLECTING_DUCT_DEVELOPMENT	10		Rejected!	
GOBP_METANEPHRIC_DISTAL_TUBULE_DEVELOPMENT	7		Rejected!	
GOBP_METANEPHRIC_EPITHELIUM_DEVELOPMENT	28		Rejected!	
GOBP_METANEPHRIC_GLOMERULAR_MESANGIUM_DEVELOPMENT	5		Rejected!	
GOBP_METANEPHRIC_GLOMERULUS_DEVELOPMENT	17		Rejected!	
GOBP_METANEPHRIC_GLOMERULUS_VASCULATURE_DEVELOPMENT	9		Rejected!	
GOBP_METANEPHRIC_LOOP_OF_HENLE_DEVELOPMENT	6		Rejected!	
GOBP_METANEPHRIC_MESENCHYMAL_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_METANEPHRIC_MESENCHYME_DEVELOPMENT	14		Rejected!	
GOBP_METANEPHRIC_NEPHRON_DEVELOPMENT	40	20		
GOBP_METANEPHRIC_NEPHRON_MORPHOGENESIS	23		Rejected!	
GOBP_METANEPHRIC_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_METANEPHRIC_NEPHRON_TUBULE_MORPHOGENESIS	8		Rejected!	
GOBP_METANEPHRIC_PART_OF_URETERIC_BUD_DEVELOPMENT	6		Rejected!	
GOBP_METANEPHRIC_PROXIMAL_TUBULE_DEVELOPMENT	5		Rejected!	
GOBP_METANEPHRIC_RENAL_VESICLE_MORPHOGENESIS	13		Rejected!	
GOBP_METANEPHRIC_S_SHAPED_BODY_MORPHOGENESIS	5		Rejected!	
GOBP_METANEPHRIC_TUBULE_DEVELOPMENT	24		Rejected!	
GOBP_METANEPHRIC_TUBULE_FORMATION	6		Rejected!	
GOBP_METANEPHRIC_TUBULE_MORPHOGENESIS	10		Rejected!	
GOBP_METANEPHROS_DEVELOPMENT	92	44		
GOBP_METANEPHROS_MORPHOGENESIS	30		Rejected!	
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_MEIOTIC_CELL_CYCLE	7		Rejected!	
GOBP_METAPHASE_CHROMOSOME_ALIGNMENT	107	32		
GOBP_METENCEPHALON_DEVELOPMENT	119	32		
GOBP_METHIONINE_BIOSYNTHETIC_PROCESS	8		Rejected!	
GOBP_METHIONINE_METABOLIC_PROCESS	13		Rejected!	
GOBP_METHYLATION	225	20		
GOBP_METHYLGLYOXAL_METABOLIC_PROCESS	6		Rejected!	
GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS	20		Rejected!	
GOBP_MHC_CLASS_I_BIOSYNTHETIC_PROCESS	8		Rejected!	
GOBP_MICROAUTOPHAGY	22		Rejected!	
GOBP_MICROGLIAL_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	5		Rejected!	
GOBP_MICROGLIAL_CELL_MEDIATED_CYTOTOXICITY	5		Rejected!	
GOBP_MICROGLIAL_CELL_MIGRATION	8		Rejected!	
GOBP_MICROGLIAL_CELL_PROLIFERATION	9		Rejected!	
GOBP_MICROGLIA_DIFFERENTIATION	16		Rejected!	
GOBP_MICROTUBULE_ANCHORING	25		Rejected!	
GOBP_MICROTUBULE_ANCHORING_AT_MICROTUBULE_ORGANIZING_CENTER	14		Rejected!	
GOBP_MICROTUBULE_BASED_MOVEMENT	494	85		
GOBP_MICROTUBULE_BASED_PROCESS	1028	218		
GOBP_MICROTUBULE_BASED_PROTEIN_TRANSPORT	14		Rejected!	
GOBP_MICROTUBULE_BASED_TRANSPORT	233	35		
GOBP_MICROTUBULE_BUNDLE_FORMATION	137	27		
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	688	169		
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION_INVOLVED_IN_MITOSIS	172	51		
GOBP_MICROTUBULE_DEPOLYMERIZATION	53	21		
GOBP_MICROTUBULE_NUCLEATION	48		Rejected!	
GOBP_MICROTUBULE_NUCLEATION_BY_MICROTUBULE_ORGANIZING_CENTER	5		Rejected!	
GOBP_MICROTUBULE_ORGANIZING_CENTER_LOCALIZATION	33		Rejected!	
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	162	32		
GOBP_MICROTUBULE_POLYMERIZATION	104	20		
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	148	38		
GOBP_MICROTUBULE_SEVERING	9		Rejected!	
GOBP_MICROVILLUS_ASSEMBLY	23		Rejected!	
GOBP_MICROVILLUS_ORGANIZATION	31		Rejected!	
GOBP_MICTURITION	9		Rejected!	
GOBP_MIDBODY_ABSCISSION	24		Rejected!	
GOBP_MIDBRAIN_DEVELOPMENT	93	33		
GOBP_MIDBRAIN_DOPAMINERGIC_NEURON_DIFFERENTIATION	17		Rejected!	
GOBP_MIDBRAIN_HINDBRAIN_BOUNDARY_DEVELOPMENT	7		Rejected!	
GOBP_MIDDLE_EAR_MORPHOGENESIS	22		Rejected!	
GOBP_MIDGUT_DEVELOPMENT	11		Rejected!	
GOBP_MIGRACYTOSIS	6		Rejected!	
GOBP_MINERALOCORTICOID_BIOSYNTHETIC_PROCESS	12		Rejected!	
GOBP_MINERALOCORTICOID_METABOLIC_PROCESS	14		Rejected!	
GOBP_MIRNA_CATABOLIC_PROCESS	20		Rejected!	
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION	99		Rejected!	
GOBP_MIRNA_MEDIATED_GENE_SILENCING_BY_MRNA_DESTABILIZATION	105		Rejected!	
GOBP_MIRNA_METABOLIC_PROCESS	110	39		
GOBP_MIRNA_PROCESSING	44		Rejected!	
GOBP_MIRNA_TRANSCRIPTION	76	38		
GOBP_MISMATCH_REPAIR	36		Rejected!	
GOBP_MITOCHONDRIAL_ADP_TRANSMEMBRANE_TRANSPORT	5		Rejected!	
GOBP_MITOCHONDRIAL_ATP_TRANSMEMBRANE_TRANSPORT	8		Rejected!	
GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS	25		Rejected!	
GOBP_MITOCHONDRIAL_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	24		Rejected!	
GOBP_MITOCHONDRIAL_DEPOLARIZATION	28		Rejected!	
GOBP_MITOCHONDRIAL_DNA_METABOLIC_PROCESS	23		Rejected!	
GOBP_MITOCHONDRIAL_DNA_REPAIR	7		Rejected!	
GOBP_MITOCHONDRIAL_DNA_REPLICATION	15		Rejected!	
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN	23		Rejected!	
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	52		Rejected!	
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_SUCCINATE_TO_UBIQUINONE	5		Rejected!	
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C	14		Rejected!	
GOBP_MITOCHONDRIAL_FISSION	43		Rejected!	
GOBP_MITOCHONDRIAL_FRAGMENTATION_INVOLVED_IN_APOPTOTIC_PROCESS	10		Rejected!	
GOBP_MITOCHONDRIAL_FUSION	36		Rejected!	
GOBP_MITOCHONDRIAL_GENE_EXPRESSION	170		Rejected!	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	31		Rejected!	
GOBP_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT_ASSEMBLY	8		Rejected!	
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	119	19		
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION	34		Rejected!	
GOBP_MITOCHONDRIAL_PROTEIN_CATABOLIC_PROCESS	10		Rejected!	
GOBP_MITOCHONDRIAL_PROTEIN_PROCESSING	13		Rejected!	
GOBP_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_ASSEMBLY	8		Rejected!	
GOBP_MITOCHONDRIAL_RESPIRASOME_ASSEMBLY	11		Rejected!	
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	103		Rejected!	
GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY	17		Rejected!	
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	8		Rejected!	
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	8		Rejected!	
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	55		Rejected!	
GOBP_MITOCHONDRIAL_RNA_MODIFICATION	11		Rejected!	
GOBP_MITOCHONDRIAL_RNA_PROCESSING	24		Rejected!	
GOBP_MITOCHONDRIAL_TRANSCRIPTION	21		Rejected!	
GOBP_MITOCHONDRIAL_TRANSLATION	132		Rejected!	
GOBP_MITOCHONDRIAL_TRANSLATIONAL_ELONGATION	5		Rejected!	
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT	104		Rejected!	
GOBP_MITOCHONDRIAL_TRANSPORT	183	27		
GOBP_MITOCHONDRIAL_TRNA_PROCESSING	14		Rejected!	
GOBP_MITOCHONDRION_DISTRIBUTION	21		Rejected!	
GOBP_MITOCHONDRION_ENDOPLASMIC_RETICULUM_MEMBRANE_TETHERING	8		Rejected!	
GOBP_MITOCHONDRION_LOCALIZATION	56		Rejected!	
GOBP_MITOCHONDRION_ORGANIZATION	432	67		
GOBP_MITOPHAGY	97		Rejected!	
GOBP_MITOTIC_CELL_CYCLE	931	235		
GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING	136	31		
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	458	111		
GOBP_MITOTIC_CELL_CYCLE_PROCESS	783	203		
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	19		Rejected!	
GOBP_MITOTIC_CYTOKINESIS	98	27		
GOBP_MITOTIC_CYTOKINETIC_PROCESS	38		Rejected!	
GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING	75		Rejected!	
GOBP_MITOTIC_DNA_REPLICATION	17		Rejected!	
GOBP_MITOTIC_DNA_REPLICATION_CHECKPOINT_SIGNALING	11		Rejected!	
GOBP_MITOTIC_G1_S_TRANSITION_CHECKPOINT_SIGNALING	17		Rejected!	
GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING	36		Rejected!	
GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT	54		Rejected!	
GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING	17		Rejected!	
GOBP_MITOTIC_METAPHASE_CHROMOSOME_ALIGNMENT	66	19		
GOBP_MITOTIC_NUCLEAR_DIVISION	286	91		
GOBP_MITOTIC_NUCLEAR_MEMBRANE_DISASSEMBLY	8		Rejected!	
GOBP_MITOTIC_NUCLEAR_MEMBRANE_ORGANIZATION	10		Rejected!	
GOBP_MITOTIC_RECOMBINATION	29		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_COHESION	31		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_COHESION_CENTROMERIC	5		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	197	61		
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	64	23		
GOBP_MITOTIC_SPINDLE_ASSEMBLY	78	23		
GOBP_MITOTIC_SPINDLE_ELONGATION	12		Rejected!	
GOBP_MITOTIC_SPINDLE_ORGANIZATION	139	39		
GOBP_MITRAL_VALVE_DEVELOPMENT	14		Rejected!	
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	694	113		
GOBP_MODIFICATION_OF_POSTSYNAPTIC_ACTIN_CYTOSKELETON	19		Rejected!	
GOBP_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE	35		Rejected!	
GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	42		Rejected!	
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS	47		Rejected!	
GOBP_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	35		Rejected!	
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS	190	49		
GOBP_MODIFIED_AMINO_ACID_TRANSPORT	42	16		
GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION	27		Rejected!	
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS	50		Rejected!	
GOBP_MODULATION_BY_HOST_OF_VIRAL_RNA_GENOME_REPLICATION	6		Rejected!	
GOBP_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST	28		Rejected!	
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	51	17		
GOBP_MODULATION_OF_INHIBITORY_POSTSYNAPTIC_POTENTIAL	7		Rejected!	
GOBP_MODULATION_OF_MICROTUBULE_CYTOSKELETON_INVOLVED_IN_CEREBRAL_CORTEX_RADIAL_GLIA_GUIDED_MIGRATION	5		Rejected!	
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM	122	41		
GOBP_MOLTING_CYCLE	122	51		
GOBP_MOLTING_CYCLE_PROCESS	102	45		
GOBP_MONOACYLGLYCEROL_BIOSYNTHETIC_PROCESS	9		Rejected!	
GOBP_MONOACYLGLYCEROL_CATABOLIC_PROCESS	7		Rejected!	
GOBP_MONOACYLGLYCEROL_METABOLIC_PROCESS	16		Rejected!	
GOBP_MONOAMINE_TRANSPORT	75	23		
GOBP_MONOATOMIC_ANION_HOMEOSTASIS	21		Rejected!	
GOBP_MONOATOMIC_ANION_TRANSPORT	177	62		
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	887	277		
GOBP_MONOATOMIC_CATION_TRANSPORT	1079	340		
GOBP_MONOATOMIC_ION_HOMEOSTASIS	627	237		
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	1048	322		
GOBP_MONOATOMIC_ION_TRANSPORT	1282	396		
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	235	78		
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	125	29		
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	633	207		
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT	182	71		
GOBP_MONOCYTE_ACTIVATION	13		Rejected!	
GOBP_MONOCYTE_AGGREGATION	5		Rejected!	
GOBP_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION	20		Rejected!	
GOBP_MONOCYTE_CHEMOTAXIS	55	38		
GOBP_MONOCYTE_DIFFERENTIATION	37	18		
GOBP_MONOCYTE_EXTRAVASATION	11		Rejected!	
