NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION		91	-0.5627676	-1.5334382	0.004192872	0.10515736	1.0	827	tags=36%, list=17%, signal=43%	
GOBP_DEFENSE_RESPONSE_TO_VIRUS	GOBP_DEFENSE_RESPONSE_TO_VIRUS		99	-0.56008345	-1.5332578	0.0010493179	0.10420223	1.0	1167	tags=49%, list=23%, signal=63%	
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS	GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS		30	-0.6441946	-1.5315766	0.0022346368	0.105483264	1.0	394	tags=27%, list=8%, signal=29%	
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS		32	-0.62758666	-1.5313971	0.0056561087	0.10447631	1.0	985	tags=50%, list=20%, signal=62%	
GOBP_REGULATION_OF_B_CELL_ACTIVATION	GOBP_REGULATION_OF_B_CELL_ACTIVATION		73	-0.5721353	-1.531185	0.0010604454	0.103619725	1.0	576	tags=44%, list=12%, signal=49%	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		41	-0.61669487	-1.5308199	0.004405286	0.10308114	1.0	791	tags=59%, list=16%, signal=69%	
GOBP_REGULATION_OF_CALCIUM_ION_IMPORT	GOBP_REGULATION_OF_CALCIUM_ION_IMPORT		20	-0.6700068	-1.5294545	0.016055046	0.104103185	1.0	735	tags=40%, list=15%, signal=47%	
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION		177	-0.5356708	-1.5288624	0.0	0.103983305	1.0	853	tags=38%, list=17%, signal=45%	
GOBP_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_NEGATIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		31	-0.63815296	-1.5284351	0.0022522523	0.10344784	1.0	586	tags=35%, list=12%, signal=40%	
GOBP_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY	GOBP_FC_EPSILON_RECEPTOR_SIGNALING_PATHWAY		15	-0.7017871	-1.5267705	0.010321101	0.10478116	1.0	452	tags=53%, list=9%, signal=58%	
GOBP_MEMBRANE_RAFT_ORGANIZATION	GOBP_MEMBRANE_RAFT_ORGANIZATION		15	-0.7066699	-1.5265301	0.011248594	0.10402057	1.0	648	tags=53%, list=13%, signal=61%	
GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION		61	-0.590187	-1.5197433	0.0010615712	0.11430612	1.0	911	tags=44%, list=18%, signal=53%	
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION		51	-0.59887314	-1.5193232	0.0032537961	0.11383108	1.0	1263	tags=49%, list=25%, signal=65%	
GOBP_LYMPHOCYTE_HOMEOSTASIS	GOBP_LYMPHOCYTE_HOMEOSTASIS		40	-0.6080751	-1.5178089	0.002224694	0.115104586	1.0	1011	tags=52%, list=20%, signal=65%	
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY		200	-0.5251308	-1.5156837	0.0	0.11742865	1.0	713	tags=37%, list=14%, signal=41%	
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION		124	-0.54650486	-1.5146714	0.0	0.11808646	1.0	679	tags=34%, list=14%, signal=38%	
GOBP_CELL_PROJECTION_ASSEMBLY	GOBP_CELL_PROJECTION_ASSEMBLY		162	-0.53018796	-1.5137286	0.0	0.11848529	1.0	1323	tags=47%, list=26%, signal=62%	
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE		42	-0.60082805	-1.512837	0.005446623	0.11906751	1.0	1031	tags=45%, list=21%, signal=57%	
GOBP_T_CELL_ACTIVATION	GOBP_T_CELL_ACTIVATION		301	-0.51871455	-1.5117154	0.0	0.119777136	1.0	1310	tags=52%, list=26%, signal=66%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION		94	-0.55357355	-1.5107194	0.0	0.120570645	1.0	839	tags=29%, list=17%, signal=34%	
GOBP_DENDRITIC_CELL_MIGRATION	GOBP_DENDRITIC_CELL_MIGRATION		24	-0.6464945	-1.5095742	0.007936508	0.12104573	1.0	1338	tags=58%, list=27%, signal=79%	
