label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,k,gep
k10_5,-48.23030030707081,-25.55634950885655,-12.841035339835308,-4.538077464760953,0.7732884646642085,-5.2028184495041225,0.18876078898487444,-3.01750351449192,-6.934396096609643,-0.5175942385167793,10,5
k10_6,14.020276981055321,-12.898026839629765,-8.37477232334045,18.718721876143974,-0.11851637622853947,16.533789972342788,-1.8941898623721907,-1.2175389198464366,3.1487087242665006,-17.794591561236388,10,6
k10_7,-6.4643106031705395,4.692456189821656,16.115127289300695,22.255387329282808,6.739786648485125,-13.16034081734425,0.9978763510211908,-0.4934640279743195,16.404081561048336,11.530708958950253,10,7
k10_8,1.3635521574040677,3.643101593429526,-1.5298272438325105,-3.300909065013694,6.297689980564375,7.641683430430188,6.89225023338716,20.17466768268559,22.018973289071578,-7.2786082497787845,10,8
k10_9,12.935697272384916,4.248380500893383,2.9202744842123103,11.501819679444568,7.9566216064741235,32.882038473231766,5.557364417382744,-7.1116282980002605,-18.6113268330574,24.226342157162104,10,9
k10_10,-0.11484965749505974,1.7018383912269397,5.5358225616873735,2.523716733322001,-0.4505039694449134,-7.310221664067268,-9.719584252529621,-0.03742466925088643,12.882456528124507,17.239184212389326,10,10
k11_1,6.917515075506046,30.654326846844096,-28.60119162816248,-14.949593502050277,-1.4174461755227965,-6.433902221497469,-7.523010828682461,-25.980663390724974,6.2099239720830886,-2.637472518751489,11,1
k11_2,8.271158262260602,-4.581235012785143,40.09361066678891,-7.525588099135062,-15.768196265775153,-10.190355693252112,-5.38920943300881,-1.3156469334953054,-9.555659804759584,-5.562937748977882,11,2
k11_3,2.618423440015747,21.02353938377789,-24.099460751896682,-12.260782582992478,-1.7114064322186082,-10.603504282095543,13.241294910398095,28.112216617747272,-17.451210901638138,3.6496492122499555,11,3
k11_4,-48.356278747915695,-24.059517353212627,-9.902493077323866,-0.5701450578361971,2.189888825713215,-9.039830836101657,1.7917346730514565,-3.3713216433343685,-6.358307724735816,0.35523972214000615,11,4
k11_5,21.66744857347036,-15.15872445032372,-2.0879325177946564,31.964146832821505,9.16984524305195,13.037629456102808,4.2103662969517,-4.776875071839518,2.8193969141860156,-25.714647495227915,11,5
k11_6,13.579070440541816,6.796034486736638,7.136219019514072,16.58777528392982,9.472977031557036,27.130114959450584,8.101802696966473,-7.531264882649027,-18.487653214912164,25.599251074246787,11,6
k11_7,1.1238854775231115,4.31380762801854,-0.13144592320247328,-1.5550529632563146,6.974268068131838,5.88695785482071,7.640441941127027,20.062185109653438,22.416384086184163,-6.735139245326254,11,7
k11_8,10.83809603009527,-9.20100954645537,-6.188803074955514,20.149402253198556,-2.550573067788311,10.980924824917489,-1.7999892539212339,0.2145210144991396,4.1571886894281604,-13.094210945890309,11,8
k11_9,-3.729125549825779,-4.319295096421069,21.334285949300444,-15.127077587872346,-18.60398541321902,6.399115100966679,-21.355916407986637,4.68831078868835,-4.343382851069112,-5.006438179288878,11,9
k11_10,0.754739069018476,5.6050056353371795,16.139255010386805,15.838839512544011,5.183148090842541,-19.752419096467737,-3.094137783667638,-1.6750456976274644,15.434295070122669,19.81790859337048,11,10
k11_11,-0.004799082158919402,2.2621783854555497,22.89610109107248,3.566656302110582,-14.020048069410679,-3.4147692822469473,-23.38390808400437,6.939264941543945,3.050635346134161,2.6669026265479268,11,11
k12_1,10.56450243487293,10.644582418321534,19.127944373286375,23.714268869676005,6.355573676557527,-20.519216290471093,10.273251572254726,-4.466390500593547,-4.376608910710562,-1.404206319319465,12,1
k12_2,6.1420197799860725,29.917866047414012,-31.309964052647867,-18.05039017880193,-2.4088611253358527,-3.8408609768364386,-9.049099497732762,-25.912853230344698,6.58167987619045,-2.629135044128036,12,2
k12_3,1.3531707111397249,19.898936474186424,-27.51364775678231,-16.174357976698506,-3.0297212983107267,-6.9851646678548285,11.328536683089784,29.152910765513496,-17.051822963601452,3.964480295358674,12,3
