,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ACP7,0.017390548403748426,-0.009433662887177674,-0.0009808613488029995,0.008954033825311491,-0.007406583079487553,-0.01701856253297207,0.015113740101240654,-0.0053163328261454975,0.014536898577324672,0.020197182969281476
ACPP,0.00995377063815597,0.009745352120828634,0.02825351949231482,-0.003461164843340213,0.0014852848295512802,-0.008162723493993634,0.0009747668279901364,0.009848393517369172,0.016431224817924223,0.01363915859797571
ACSBG1,0.019874906968329848,-0.002875622056946275,-0.0052179655088668096,0.008237473153667265,0.0175483881391275,0.009050157943231251,-0.02394178201975433,0.009370269604181207,-0.014153489061002961,-0.008515343146601254
ACSL1,0.016247071634519113,0.013974705273120318,0.0074518716797717524,0.012090507703366792,0.007031902684826976,-0.01561900215046771,0.021460364287987848,0.011310878952355182,0.02596090319939081,0.012822327049049414
ACSL4,0.01728979689922677,-0.010589111393841381,-0.008428866942363621,-0.007920866106725627,0.008592857669966932,-0.006351889420253174,0.014600501441801896,-0.003097849067039527,0.010916481093833124,-0.0023703132061373353
ACSL5,0.008314188288225879,0.0010057960052368227,0.022201181875394067,-0.02742669773686327,-0.028095382071734284,0.009314266212887884,-0.009749230995535162,0.0011274543246563985,-0.010399752090810363,-0.008575410991286255
ACSL6,0.007698201058407902,0.023082636325208034,-0.019871039979614456,-0.002120349867881669,-0.0037975035989472423,-0.0015351182731577605,-0.019578405558694587,-0.03461718953564808,0.012602102645183647,-0.005138136207594201
ACSS1,0.014679826516068788,0.012120909066646172,-0.013953782567457662,-0.010556539280123158,-0.025371575661490633,-0.013308438004332911,0.00835554787242368,0.005454864176942614,-0.01656215038955255,-0.0010946885010264312
ACTA2,-0.0010991751351888991,0.006759719377115726,0.0013163050382581755,0.013432925274154007,0.007250552971989976,0.027397590719791944,-0.0015312381049308586,-0.003964656154007101,0.00037426655528952627,-0.031068488293697724
ACTG2,-0.002092119471261985,0.008489277179215696,0.002629440580324737,0.012365558114964167,0.005440599430746192,0.025347170869345226,-2.027492114401258e-05,-0.003441667354096206,7.452440983830112e-05,-0.031144116617281
ACTN3,0.020064311745221695,-0.02180493440072165,-0.011222094173892961,-0.01106195071573315,0.017542546516208235,-0.00795561468037913,-0.0013705163012403484,-0.0071532629926039796,0.005093077219494364,0.004835901578739317
ACY3,0.018393903337632238,-0.020960733119846225,0.011008102525203883,-0.02083562691788629,-0.010714840975862765,-0.004182013929078363,-0.004091383736190966,0.004384442655736361,-0.014658301711023355,-0.002308216776887996
ADA2,-0.024003753817120495,-0.0018392830539504456,-0.021116870154707312,-0.00828902315819785,0.006049419910989529,-0.0008708443050468066,0.007321361309460647,0.007362291685609258,0.007883715792680714,-0.0036411074417830804
ADAM12,0.011139978322731864,-0.004925511319454006,-0.001448368755272028,0.0111235783248104,-0.002830832939740001,-0.01460886109322206,0.016628928448405758,-0.003719486613962285,0.014268969323784911,0.004000597965234562
ADAM15,0.008174439554517625,0.016540380967801964,0.026652788321482716,0.0015550276148354985,0.005217296259970915,0.025495083201839682,0.004778229644773763,-0.00585260219094271,-0.012266030928620771,0.025768846477059647
ADAM19,0.0057876096331501,0.014126217579350644,-0.026404545475043877,-0.009277032361359176,0.001059298252724367,0.0025588103570658573,0.012108811538923363,0.03418761251284103,-0.009484141304963634,0.004013258866343031
ADAM23,0.004687161234543263,0.02197853319854106,0.01642358307286534,0.025589096181048883,0.014778150721891727,-0.015669559910722292,0.002251812951813479,0.0018961376324413744,0.0006351637543323192,0.00047825515714772617
