sample,K,gep,label,label_kind,membership_label,baseline_group_type,members_str,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,baseline_ROGUE_mean,baseline_ROGUE_min,baseline_ROGUE_max,delta_ROGUE_vs_mean,delta_ROGUE_vs_max,recommendation
GSM4138112,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9595243636307672,23,,,,,,,,ambiguous
GSM4138131,20,7,DC_family,family,DC_family,family,,0.8368197836801646,23,0.6811733814485004,0.15564640223166426,0.8088760117521278,0.7216138836866077,0.9178427187036412,0.027943771928036876,-0.08102293502347657,GEP_less_pure_than_family
GSM4138133,20,7,DC_family,family,DC_family,family,cDC1_CLEC9A,0.8946992008934889,23,0.697361961507952,0.19733723938553682,0.8368468126408014,0.7639572524881177,0.9173078879796016,0.05785238825268746,-0.022608687086112744,no_change
GSM4138139,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.9236926261728876,22,0.7665754651974331,0.15711716097545447,0.897991475340932,0.8638748916000272,0.931333155556242,0.025701150831955566,-0.007640529383354355,no_change
GSM4138160,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9618161262174572,22,,,,,,,,ambiguous
GSM4138145,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.8744494729017372,22,0.692471637143761,0.18197783575797621,0.8348823360645791,0.6867038462684993,0.979762133654828,0.03956713683715818,-0.10531266075309076,GEP_less_pure_than_family
GSM4138133,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9677791977403044,21,,,,,,,,ambiguous
GSM4138115,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.8979837410578688,21,0.7226113874170712,0.17537235364079762,0.879377161103832,0.7959116588996087,0.9579712498150992,0.018606579954036806,-0.05998750875723036,GEP_less_pure_than_family
GSM4138139,20,10,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,Mono_TIL,0.929491124514669,21,,,,,,,,ambiguous
GSM4138135,20,13,Mast,specific,Mast,specific,Mast,0.9632808291710414,21,0.9632808291710414,0.0,,,,,,no_change
GSM4138159,20,4,Macrophage_family,family,Macrophage_family,family,,0.8436628952953475,20,0.7715675154675741,0.07209537982777348,0.9001935394418487,0.8853499157675305,0.9150371631161668,-0.05653064414650111,-0.07137426782081924,GEP_less_pure_than_family
GSM4138161,20,7,DC_family,family,DC_family,family,,0.8592277753746111,20,0.6065901732606009,0.2526376021140102,0.7476670825929574,0.6246119053608256,0.8707222598250894,0.1115606927816537,-0.011494484450478293,no_change
