sample,K,gep,label,label_kind,ROGUE,n_cells,size_bin,null_median,null_mean,null_std,n_draws,null_zscore,beats_null_median
GSM4138126,19,3,Ambiguous/Mixed,ambiguous,0.9544586886259155,351,350,0.9536556018324185,0.9536451009705269,0.004997116481649694,10.0,0.16281142502406662,True
GSM4138130,19,3,Ambiguous/Mixed,ambiguous,0.9250963279884489,323,325,0.9092936134047167,0.9100276586272621,0.0070713676575870936,10.0,2.1309412960616085,True
GSM4138116,19,4,Ambiguous/Mixed,ambiguous,0.9172208979363252,310,300,0.9233147183409811,0.9220614476629587,0.013400609032423608,10.0,-0.3612186367740072,False
GSM4138110,19,3,Ambiguous/Mixed,ambiguous,0.9246646211569467,299,300,0.9085364107827758,0.909826557683135,0.006924920618355786,10.0,2.142705207981826,True
GSM4138142,19,3,Ambiguous/Mixed,ambiguous,0.9180899558463114,290,300,0.9150965177859873,0.9161197796556151,0.009670660371790988,10.0,0.20372716184338602,True
GSM4138132,19,3,Ambiguous/Mixed,ambiguous,0.937147185172845,287,275,0.9375866697162651,0.9378848725270496,0.0035787706330734563,10.0,-0.20612870447386394,False
GSM4138134,19,4,Ambiguous/Mixed,ambiguous,0.9421569890415024,263,275,0.9531544390111364,0.9515065827213245,0.007559810668596206,10.0,-1.23674971367481,False
GSM4138131,19,6,Ambiguous/Mixed,ambiguous,0.7688792615089554,252,250,0.7111766982357738,0.7129593007579643,0.0105610115179005,10.0,5.294943638325638,True
GSM4138135,19,7,Ambiguous/Mixed,ambiguous,0.7663896379855526,249,250,0.70475084996778,0.70966674041301,0.017859261430966267,10.0,3.1761054504857875,True
GSM4138165,19,3,Ambiguous/Mixed,ambiguous,0.905898958078048,244,250,0.8998803382054692,0.8996453444101334,0.006729256436069351,10.0,0.9293171879131668,True
GSM4138137,19,4,Ambiguous/Mixed,ambiguous,0.8082227820223504,237,225,0.769996132676889,0.7685765243557433,0.011189381830873608,10.0,3.5432035715517047,True
GSM4138140,19,3,Ambiguous/Mixed,ambiguous,0.9229578701998014,236,225,0.9277717528992286,0.9245175021842911,0.008850422002581435,10.0,-0.17622119985180526,False
GSM4138136,19,3,Ambiguous/Mixed,ambiguous,0.9202281046535254,234,225,0.9076472530358586,0.9053069541937596,0.0060717763246523814,10.0,2.4574604962280278,True
GSM4138138,19,1,Mac_SPP1,specific,0.9068484469835476,232,225,0.8903821230443711,0.8919236760409797,0.01067728314706126,10.0,1.397806046445039,True
GSM4138140,19,1,Mac_SPP1,specific,0.9406414441511082,232,225,0.9277717528992286,0.9245175021842911,0.008850422002581435,10.0,1.82182747468021,True
GSM4138156,19,1,Mac_SPP1,specific,0.9220197494183475,230,225,0.9029570764100867,0.8992838031729896,0.006893270714488479,10.0,3.2982813510531117,True
GSM4138136,19,1,Mac_SPP1,specific,0.9407618551488893,229,225,0.9076472530358586,0.9053069541937596,0.0060717763246523814,10.0,5.839296288168118,True
GSM4138120,19,1,Mac_SPP1,specific,0.8867662447632656,224,225,0.8539246262395295,0.85575042521446,0.012060186580448403,10.0,2.5717528781094887,True
GSM4138138,19,3,Ambiguous/Mixed,ambiguous,0.9113586338547245,223,225,0.8903821230443711,0.8919236760409797,0.01067728314706126,10.0,1.8202156434424017,True
GSM4138122,19,1,Mac_SPP1,specific,0.8935515088190161,220,225,0.8922521185794907,0.8913037977523934,0.006456009797580775,10.0,0.3481579392064995,True
GSM4138128,19,1,Mac_SPP1,specific,0.8935515088190161,220,225,0.8940830672168274,0.8944900480633547,0.005434559348584229,10.0,-0.17269831538101102,False
GSM4138116,19,3,Ambiguous/Mixed,ambiguous,0.9407367246806824,217,225,0.9406090791855607,0.9411637546624922,0.009356271546538794,10.0,-0.045641041913522896,True
GSM4138146,19,3,Ambiguous/Mixed,ambiguous,0.8907580424879347,208,200,0.8881980235326972,0.885961743984794,0.009268960658811947,10.0,0.5174580710492993,True
GSM4138142,19,1,Mac_SPP1,specific,0.9356507772917957,208,200,0.9136081548560113,0.9141643541833165,0.010953332907377463,10.0,1.961633348513243,True
GSM4138122,19,3,Ambiguous/Mixed,ambiguous,0.8998896327212405,206,200,0.8974688423498045,0.898797790628006,0.008042516420904018,10.0,0.1357587645573873,True
GSM4138128,19,3,Ambiguous/Mixed,ambiguous,0.8998896327212405,206,200,0.8923862044622478,0.8969703944276523,0.014131543797635532,10.0,0.20657603552675133,True
GSM4138126,19,1,Mac_SPP1,specific,0.9613642553646942,201,200,0.9613611160694149,0.959491281553834,0.007449059175347659,10.0,0.25143763350124576,True
GSM4138140,19,4,Ambiguous/Mixed,ambiguous,0.9010504689884941,197,200,0.9217290252215568,0.9211167021697267,0.0050627877545286444,10.0,-3.963475095965363,False
GSM4138162,19,3,Ambiguous/Mixed,ambiguous,0.9111531646195643,195,200,0.9031206880667653,0.9004240103664498,0.014369143350337097,10.0,0.7466801598066588,True
GSM4138156,19,4,Ambiguous/Mixed,ambiguous,0.9153408984005149,195,200,0.9020485714667975,0.9033833436351284,0.006797400763331905,10.0,1.7591363495721324,True
GSM4138154,19,1,Mac_SPP1,specific,0.8914204329550883,193,200,0.8322666337117524,0.8334642318593527,0.01187231948660112,10.0,4.8816241140700365,True
GSM4138120,19,3,Ambiguous/Mixed,ambiguous,0.886194449371568,192,200,0.8583515853283727,0.854218918460926,0.012264911654486671,10.0,2.6070738878045563,True
GSM4138114,19,3,Ambiguous/Mixed,ambiguous,0.8997598352101934,192,200,0.8761846506186927,0.8779769316344966,0.011369027622716986,10.0,1.9159865116495407,True
GSM4138160,19,3,Ambiguous/Mixed,ambiguous,0.9145485720165317,191,200,0.8845507334841007,0.8855222802401472,0.01845402906643897,10.0,1.5728972611825212,True
GSM4138167,19,3,Ambiguous/Mixed,ambiguous,0.9001423141806674,191,200,0.8924069617712289,0.8932674989137495,0.005711730222881376,10.0,1.2036309487057317,True
GSM4138155,19,7,Ambiguous/Mixed,ambiguous,0.709765635241038,186,175,0.6128473714066296,0.6145663529522757,0.017371985508373884,10.0,5.480046149179264,True
GSM4138110,19,4,Ambiguous/Mixed,ambiguous,0.9378017808675173,184,175,0.9101186370385674,0.9138205508500243,0.014888014347285525,10.0,1.6107742414867687,True
GSM4138166,19,3,Ambiguous/Mixed,ambiguous,0.9058196471381781,184,175,0.89728166332112,0.8960981060248214,0.012793463023715486,10.0,0.7598834729373628,True
GSM4138112,19,3,Ambiguous/Mixed,ambiguous,0.8980289083081134,179,175,0.8813310231371112,0.8832471784791048,0.01121516441649675,10.0,1.3180127620122697,True
GSM4138141,19,4,Ambiguous/Mixed,ambiguous,0.7531235722898386,178,175,0.7355483096820561,0.7363138224761704,0.008358980751236634,10.0,2.010980801837758,True
GSM4138160,19,1,Mac_SPP1,specific,0.9017903753049535,171,175,0.8775985126561869,0.881640781860155,0.009236566814983279,10.0,2.1815024833807772,True
GSM4138132,19,4,Ambiguous/Mixed,ambiguous,0.9376804785306716,171,175,0.9438448607141168,0.9432120955797142,0.009915241201602898,10.0,-0.5578903161880067,False
GSM4138126,19,4,Ambiguous/Mixed,ambiguous,0.9620749369265467,169,175,0.9551618426605979,0.9562859734146121,0.005563027354788099,10.0,1.040613885702364,True
GSM4138120,19,4,Ambiguous/Mixed,ambiguous,0.832770227046979,168,175,0.8572969503534867,0.8609251999143879,0.014559608038590497,10.0,-1.9337727219567735,False
GSM4138127,19,7,Ambiguous/Mixed,ambiguous,0.8159338544294471,165,175,0.759347970912561,0.7643712152860987,0.018018053079367453,10.0,2.8617209038191227,True
GSM4138116,19,1,Mac_SPP1,specific,0.9591360026228491,165,175,0.9383862921684374,0.9401989660095555,0.00950933509450919,10.0,1.9914154275863183,True
GSM4138155,19,1,Mac_SPP1,specific,0.6688493240861897,159,150,0.6397631182352425,0.6457963591794125,0.02037806436820356,10.0,1.1312637201572187,True
GSM4138152,19,4,Ambiguous/Mixed,ambiguous,0.8719779809393212,158,150,0.8808661898346524,0.882841664474616,0.017260730748689744,10.0,-0.6293872312514592,False
GSM4138142,19,4,Ambiguous/Mixed,ambiguous,0.9036944160511848,157,150,0.9191415197860812,0.9191594989665323,0.014078003486662147,10.0,-1.0985281350441087,False
GSM4138163,19,3,Ambiguous/Mixed,ambiguous,0.9267878137719006,157,150,0.9192033589777493,0.9149155953671626,0.008005239428972728,10.0,1.4830560047672998,True
GSM4138123,19,3,Ambiguous/Mixed,ambiguous,0.6956570070645784,156,150,0.7077605529065726,0.704605824106745,0.015339853571415287,10.0,-0.5833704344376548,False
GSM4138144,19,1,Mac_SPP1,specific,0.8962082477268277,154,150,0.8602528535391646,0.8599396014414591,0.011213089716939429,10.0,3.234491759267581,True
GSM4138166,19,1,Mac_SPP1,specific,0.896077871835219,152,150,0.8947668219149227,0.8897735841706824,0.013879628243150232,10.0,0.454211564898927,True
GSM4138162,19,4,Ambiguous/Mixed,ambiguous,0.8994211262124877,151,150,0.9030608504148141,0.9048040188110249,0.008866417934954336,10.0,-0.607110181138209,False
GSM4138139,19,7,Ambiguous/Mixed,ambiguous,0.8188963761885542,148,150,0.699060797300902,0.6988286295814581,0.014248817294500636,10.0,8.42650615314132,True
GSM4138139,19,1,Mac_SPP1,specific,0.7473841261995902,148,150,0.699060797300902,0.6988286295814581,0.014248817294500636,10.0,3.407686098752363,True
GSM4138146,19,1,Mac_SPP1,specific,0.905284565144202,147,150,0.8956437685145003,0.8975869016366355,0.015234089378603669,10.0,0.5052920011338456,True
GSM4138139,19,4,Ambiguous/Mixed,ambiguous,0.7824041473892859,145,150,0.699060797300902,0.6988286295814581,0.014248817294500636,10.0,5.86543543091706,True
GSM4138152,19,3,Ambiguous/Mixed,ambiguous,0.9017754069009111,143,150,0.8808661898346524,0.882841664474616,0.017260730748689744,10.0,1.0969258892896143,True
GSM4138136,19,4,Ambiguous/Mixed,ambiguous,0.9186596088489257,143,150,0.9035468651006413,0.906517837951659,0.010905313631112204,10.0,1.1133811743503657,True
